TxId,ItemId
1,Donuts
1,Eggs
2,Bananas
2,Carrots
2,Fish
3,Bananas
3,Eggs
4,Apples
4,Bananas
4,Carrots
4,Fish
5,Apples
5,Bananas
5,Donuts
6,Carrots
6,Eggs
7,Donuts
8,Apples
8,Donuts
8,Fish
9,Carrots
9,Fish
10,Apples
10,Bananas
10,Carrots
10,Fish
11,Bananas
11,Eggs
12,Bananas
12,Carrots
13,Donuts
14,Bananas
15,Donuts
15,Eggs
16,Donuts
16,Eggs
17,Bananas
17,Carrots
17,Fish
18,Bananas
18,Carrots
18,Eggs
19,Apples
19,Bananas
19,Carrots
19,Fish
20,Apples
20,Bananas
20,Donuts
21,Carrots
21,Eggs
21,Fish
22,Donuts
23,Apples
23,Carrots
23,Donuts
23,Fish
24,Carrots
24,Fish
25,Apples
25,Bananas
25,Carrots
25,Fish
26,Bananas
26,Eggs
26,Fish
27,Bananas
27,Carrots
27,Eggs
28,Donuts
29,Apples
29,Bananas
30,Donuts
30,Eggs
31,Bananas
31,Donuts
31,Eggs
32,Bananas
32,Carrots
32,Fish
33,Bananas
33,Eggs
34,Apples
34,Bananas
34,Carrots
34,Fish
35,Apples
35,Bananas
35,Donuts
36,Carrots
36,Eggs
36,Fish
37,Donuts
38,Apples
38,Donuts
38,Fish
39,Carrots
39,Fish
40,Apples
40,Bananas
40,Carrots
40,Fish
41,Apples
41,Bananas
41,Eggs
42,Bananas
42,Carrots
43,Apples
43,Donuts
44,Bananas
45,Donuts
45,Eggs
46,Donuts
46,Eggs
47,Bananas
47,Carrots
47,Fish
48,Bananas
48,Carrots
48,Eggs
49,Apples
49,Bananas
49,Carrots
49,Eggs
49,Fish
50,Apples
50,Bananas
50,Carrots
50,Donuts
50,Eggs
50,Fish